"ID1,N,4,0","HHID,C,15","HVIDX,N,2,0","QHCLUSTER,N,4,0","QHNUMBER,N,3,0","QHHOME,N,2,0","PS104_1A,N,2,0","PS104_1M,N,2,0","PS104_1S,N,1,0","PS5,N,1,0"
2019,      028405601,1,284,56,1,2,0,1,1
2019,      028405601,2,284,56,1,1,0,2,2
2019,      028411301,2,284,113,1,0,2,2,1
2019,      029002201,2,290,22,1,3,0,2,1
2019,      029002601,2,290,26,1,0,5,2,1
2019,      029103501,2,291,35,1,7,0,2,1
2019,      029103701,2,291,37,1,1,0,2,1
2019,      029403301,2,294,33,1,3,0,2,1
2019,      029403501,3,294,35,1,2,0,2,1
2019,      029404601,2,294,46,1,2,0,2,1
2019,      029404801,2,294,48,1,15,0,2,1
2019,      029500801,2,295,8,1,0,5,2,1
2019,      029501001,1,295,10,1,8,0,2,1
2019,      029501401,2,295,14,1,10,0,2,1
2019,      029501501,2,295,15,1,6,0,2,1
2019,      029501701,2,295,17,1,2,0,2,1
2019,      029503101,2,295,31,1,3,0,2,1
2019,      030812501,1,308,125,1,3,0,1,1
2019,      030812501,2,308,125,1,3,0,1,2
2019,      030812501,5,308,125,1,1,6,1,3
2019,      030812501,6,308,125,1,0,6,2,4
2019,      031102001,2,311,20,1,3,98,2,1
2019,      031803401,3,318,34,1,2,98,2,1
2019,      032000201,2,320,2,1,1,0,2,1
2019,      032605801,2,326,58,1,8,0,2,1
2019,      032606101,2,326,61,1,8,0,2,1
2019,      032606401,2,326,64,1,3,0,2,1
2019,      032606601,1,326,66,1,10,98,2,1
2019,      032803401,2,328,34,1,0,2,2,1
2019,      032803501,2,328,35,1,5,0,2,1
2019,      032803801,1,328,38,1,0,2,2,1
2019,      032803901,2,328,39,1,1,0,2,1
2019,      032804001,2,328,40,1,5,98,2,1
2019,      032807701,2,328,77,1,10,98,2,1
2019,      032807901,2,328,79,1,3,0,2,1
2019,      033101101,2,331,11,1,4,0,2,1
2019,      033101201,2,331,12,1,8,1,2,1
2019,      033101401,2,331,14,1,10,0,2,1
2019,      033101501,2,331,15,1,3,0,2,1
2019,      033105701,2,331,57,1,1,4,2,1
2019,      033106001,4,331,60,1,6,6,2,1
2019,      033106601,2,331,66,1,3,0,2,1
2019,      033106701,2,331,67,1,3,0,2,1
2019,      033106801,3,331,68,1,3,0,2,1
2019,      033106901,2,331,69,1,2,0,2,1
2019,      033107101,3,331,71,1,2,0,2,1
2019,      033606501,2,336,65,1,0,1,2,1
2019,      033606601,2,336,66,1,0,1,2,1
2019,      033606701,2,336,67,1,7,4,2,1
2019,      033608901,2,336,89,1,3,0,2,1
2019,      034707501,2,347,75,1,98,98,2,1
2019,      035311401,1,353,114,1,3,4,1,1
2019,      035311401,2,353,114,1,3,4,1,2
2019,      035311401,3,353,114,1,3,4,1,3
2019,      035311401,4,353,114,1,3,4,1,4
2019,      035311401,5,353,114,1,1,4,1,5
2019,      035311401,6,353,114,1,3,4,2,6
2019,      035709901,4,357,99,1,3,0,1,1
2019,      035709901,5,357,99,1,3,0,1,2
2019,      035709901,6,357,99,1,3,0,1,3
2019,      035709901,7,357,99,1,1,0,2,4
2019,      037204201,1,372,42,1,0,1,1,1
2019,      037204201,4,372,42,1,0,2,1,2
2019,      037204201,5,372,42,1,0,2,1,3
2019,      037204201,6,372,42,1,0,1,1,4
2019,      037204201,7,372,42,1,0,1,1,5
2019,      037204201,8,372,42,1,0,1,1,6
2019,      037204201,10,372,42,1,0,1,1,7
2019,      037204201,11,372,42,1,0,1,2,8
2019,      044306201,2,443,62,1,10,0,2,1
2019,      044403801,4,444,38,1,0,1,2,1
2019,      044504801,1,445,48,1,15,0,2,1
2019,      044504901,2,445,49,1,6,0,2,1
2019,      044505001,2,445,50,1,4,0,2,1
2019,      044505101,2,445,51,1,14,0,2,1
2019,      044505201,2,445,52,1,98,0,2,1
2019,      044801301,2,448,13,1,0,3,2,1
2019,      045302701,2,453,27,1,10,1,2,1
2019,      045302901,2,453,29,1,0,6,1,1
2019,      045302901,4,453,29,1,3,1,2,2
2019,      045303801,2,453,38,1,19,1,2,1
2019,      045304601,1,453,46,1,8,0,2,1
2019,      045702701,2,457,27,1,10,0,2,1
2019,      047904401,1,479,44,1,19,11,2,1
2019,      048011701,1,480,117,1,1,3,2,1
2019,      048103501,1,481,35,1,18,0,2,1
2019,      048802101,2,488,21,1,1,5,2,1
2019,      048807401,2,488,74,1,0,1,2,1
2019,      048808201,2,488,82,1,1,4,2,1
2019,      048808601,6,488,86,1,0,1,2,1
2019,      049502301,2,495,23,1,4,0,2,1
2019,      049700101,2,497,1,1,6,0,2,1
2019,      049700501,2,497,5,1,3,0,2,1
